,ID,DATA,TEL,CPF,SOLICITANTE,DS_RECEITA,LABEL
0,0,2020-02-15,1100000000,12345670000,João,"uso oral: 1) toragesic 10 mg tomar 1 comprimido sublingual a cada 8 horas, por 3 dias",Receita
1,1,2020-12-31,1100000001,12345670001,Maria,relatorio medico,Outros
2,2,2020-01-02,1100000002,12345670002,José,uso oral 1) ibuprofeno gotas dar 17 gotas de 8/8h por 2 dias,Receita
3,3,2020-05-17,1100000003,12345670003,Ana,uso oral 1) dipirona 500mg/ml dar 17 gotas via oral de 6 em 6 horas se dor. uso externo 1) ad muc aplicar em regiao interna das bochechas antes das principais refeicoes.,Receita
4,4,2020-01-13,1100000004,12345670004,Pedro,"uso oral e continuo 1. fluoxetina 20 mg tomar 1 cp, vi oral, 1x/dia cedo",Receita
5,5,2020-04-03,1100000005,12345670005,Mariana,uso oral 1 dipirona 1 g tomar 1 comprimido por via oral de 6/6 horas se dor ou febre,Receita
6,6,2020-10-28,1100000006,12345670006,Carlos,uso oral 1. floratil 200mg 01 cx tomar 1 cp de 12/12 h por 3 dias 2. annita 500mg 01 cx tomar 1 cp de 12/12 h por 3 dias 3. pantoprazol 40mg 01 cx tomar 1 cp em jejum 4. buscopam 01 cx tomar 1 cp de 8/8 h se dor abdominal 5. vonau 08mg 01 cx tomar 1 cp de 8/8 h se nauseas ou vomitos 6. enterogermina plus 01 cx tomar 1 flaconete 1x/dia por 3 dias,Receita
7,7,2020-11-24,1100000007,12345670007,Paula,uso int 1 zinnat 250mg 01 cx tomar 01 cp vo 12/12h por 7 dias 2 biprofenid 150mg 01 cx tomar 01 cp vo 12/12h por 5 dias 3 lisador dip 01 cx tomar 01 cp vo 6/6h por 3 dias,Receita
8,8,2020-10-18,1100000008,12345670008,Lucas,"uso oral dipirona 1g tomar 1 comprimido de 6/6 horas, se dor ou febre ibuprofeno 400mg tomar 1 comprimido de 8/8 horas, por 5 dias vonau tomar 1 comprimido sublingual de 8/8 horas, se nausea ou vomitos enterogermina plus tomar 1 flaconete ao dia por 5 dias tiorfan 100mg tomar1 comprimido de 8/8 horas, enquanto perdurar a diarreia",Receita
9,9,2020-04-16,1100000009,12345670009,Juliana,uso oral 1) daflon 1000 tomar 1cp ao dia,Receita
10,10,2020-04-24,1100000010,12345670010,Fernando,"a nutricionista, encaminho o paciente supracitado, portardor de has, dlp e obesidade 1 para avaliacao e seguimento. grata,",Exame
11,11,2020-05-11,1100000011,12345670011,Cristina,"uso nasal: soro fisiologico 0.9% fazer lavagem nasal sempre que necessario com dispositivo adequado (seringa, nasoar entre outros) uso inalatorio: soro fisiologico 0.9% fazer inalacao com 5 ml, 3 vezes ao dia, por 5 dias",Receita
12,12,2020-11-25,1100000012,12345670012,Rafael,uso oral: 1. predsim 40mg tomar 01 cp ao dia por 5 dias 2. profenid 100mg tomar 01 cp de 12/12h por 5 dias 3. acetilcisteina 600mg tomar 01 sache ao dia por 5 7 dias 4. dipirona 1g tomar 01 cp de 6/6h se febre,Receita
13,13,2020-08-21,1100000013,12345670013,Patrícia,1 lisador dip 1gr 1cx tomar 1 cp vo de 6/6 hs se febre ou dor,Receita
14,14,2020-12-22,1100000014,12345670014,Vinícius,"peso: 8kg uso oral 1 paracetamol gotas dar 8 gotas via oral 6/6 horas se dor ou febre uso inalatorio 2 inalacao com soro fisiologico 0.9% 2ml clenil a 400mcg meio flaconete 1x a noite, 5 dias uso nasal 3 soro fisiologico 0.9% llimpeza nasal",Receita
15,15,2020-08-24,1100000015,12345670015,Camila,uso oral 1 tolrest 25mg 14 comp tomar um comp via oral por 14 dias e apos aumentar para 50mg 2 tolrest 50mg 60 comp tomar um comp via oral cedo ate o retorno,Receita
16,16,2020-12-30,1100000016,12345670016,Rodrigo,"uso oral: 1) buscopam composto 01 comp ate de 8 em 8 horas, se dor abdominal. 2) dramin b6 01 comp ate de 8 em 8 horas, se nauseas ou vomitos. 3) saccharomyces boulardii 200mg 01 comp de 12 em 12 horas, por 5 dias. 4) enterogermina ingerir 01 flaconete ao dia.",Receita
17,17,2020-12-06,1100000017,12345670017,Tatiana,"uso oral continuo synthroid 137 tomar 1 cp por via oral cedo , em jejum , com agua e aguardar 40 min para desjejum",Receita
18,18,2020-05-09,1100000018,12345670018,Gustavo,uso interno: 1) clavulin bd 400mg/5ml dar 5 ml via oral de 12 em 12 horas por 10 dias 2) prelone 3mg/ml dar 6ml 1x dia pr via oral por 5 dias 3) culturelle junior dar 1 cp mastigavel via oral 1x dia por 10 dias,Receita
19,19,2020-04-23,1100000019,12345670019,Isabela,uso oral mioflex a 1 cx. tomar 1 cp. vo 8/8 hs. miosan caf 5 mg 1 cx. tomar 1 cp. vo 12/12 hs.,Receita
20,20,2020-05-26,1100000020,12345670020,João,uso oral 1. musculare 10mg tomar 1 cp antes de dormir por 5 dias,Receita
21,21,2020-11-11,1100000021,12345670021,Maria,"uso interno 1. ondansetrona 4 mg diluir 1 comprimido em 10 ml de agua, e oferta 3 ml, via oral, de ate 8/8 horas se nausea ou vomito",Receita
22,22,2020-03-04,1100000022,12345670022,José,uso oral 1) prolive 01 cx tomar 01 cp de 12/12 horas por 05 dias,Receita
